arch,n,noise,Ld,cellPx,gapPx,pitch_um,cells,bits_per_mm2,G0,s,Ia,seed,t,ber,on_min,on_mean,off_max,lyapunov_at_end,intensity_residual
B_4f,64,0,0,3,3,381,16,6.89,3.5,-0.9,0.3,3,1000,0.0625,0.00014540482938709553,1.4090530248238977,0.0014413904291762487,NaN,NaN
B_4f,64,0,0,3,3,381,16,6.89,3.5,-0.9,0.3,3,3000,0.0625,0.00011962768377648202,1.4032053723978657,0.0017634301010806205,NaN,NaN
B_4f,64,0,0,3,4,444.5,9,5.06,2.2,-0.6,0.05,1,1,0,1.4141436286362308,1.5029128891757229,0.0006740001449451029,0.0003018283546052111,0.0000842970668688981
B_4f,64,0,0,3,4,444.5,9,5.06,2.2,-0.6,0.05,1,3,0,0.9698456556390727,1.0947677302575431,0.0009174449542965381,0.0003018283546052111,0.0000842970668688981
B_4f,64,0,0,3,4,444.5,9,5.06,2.2,-0.6,0.05,1,10,0,0.48781776822740475,0.6133961588813371,0.0003413300398503694,0.0003018283546052111,0.0000842970668688981
B_4f,64,0,0,3,4,444.5,9,5.06,2.2,-0.6,0.05,1,30,0,0.3217798262567487,0.4460819917571858,0.000159598416334036,0.0003018283546052111,0.0000842970668688981
B_4f,64,0,0,3,4,444.5,9,5.06,2.2,-0.6,0.05,1,100,0,0.2952625816906158,0.4268851491796745,0.0001630638212235246,0.0003018283546052111,0.0000842970668688981
B_4f,64,0,0,3,4,444.5,9,5.06,2.2,-0.6,0.05,1,300,0,0.29529076657805936,0.44001721394709886,0.0001668819824537088,0.0003018283546052111,0.0000842970668688981
B_4f,64,0,0,3,4,444.5,9,5.06,2.2,-0.6,0.05,1,1000,0,0.29519206860493125,0.4454525664242697,0.00014993194400768535,0.0003018283546052111,0.0000842970668688981
B_4f,64,0,0,3,4,444.5,9,5.06,2.2,-0.6,0.05,1,3000,0,0.29573956415373687,0.4453022421626736,0.00015060713045512666,0.0003018283546052111,0.0000842970668688981
B_4f,64,0,0,3,4,444.5,9,5.06,2.2,-0.6,0.05,2,1,0,1.4393989512338294,1.4939203920339643,0.0004224299305037585,-0.0005124029923343233,0.00012069059210824943
B_4f,64,0,0,3,4,444.5,9,5.06,2.2,-0.6,0.05,2,3,0,1.0110100038950856,1.0846110460333385,0.000356162510240856,-0.0005124029923343233,0.00012069059210824943
B_4f,64,0,0,3,4,444.5,9,5.06,2.2,-0.6,0.05,2,10,0,0.5291707754339969,0.6030385649272179,0.0003496433767228302,-0.0005124029923343233,0.00012069059210824943
B_4f,64,0,0,3,4,444.5,9,5.06,2.2,-0.6,0.05,2,30,0,0.3587136939918843,0.43382936449904397,0.000167678135255247,-0.0005124029923343233,0.00012069059210824943
B_4f,64,0,0,3,4,444.5,9,5.06,2.2,-0.6,0.05,2,100,0,0.3335288027893212,0.41333534257147814,0.0001664948179526381,-0.0005124029923343233,0.00012069059210824943
B_4f,64,0,0,3,4,444.5,9,5.06,2.2,-0.6,0.05,2,300,0,0.33209635477376964,0.4234085895997092,0.0001593040423795545,-0.0005124029923343233,0.00012069059210824943
B_4f,64,0,0,3,4,444.5,9,5.06,2.2,-0.6,0.05,2,1000,0,0.33003835091244077,0.42500797991565,0.00016619480297545806,-0.0005124029923343233,0.00012069059210824943
B_4f,64,0,0,3,4,444.5,9,5.06,2.2,-0.6,0.05,2,3000,0,0.3325618524686372,0.42709637062248873,0.00014652039141690675,-0.0005124029923343233,0.00012069059210824943
B_4f,64,0,0,3,4,444.5,9,5.06,2.2,-0.6,0.05,3,1,0,1.4128009577119705,1.4966769237134707,0.0010763122116315446,0.0008159691983712432,0.0001839907984101897
B_4f,64,0,0,3,4,444.5,9,5.06,2.2,-0.6,0.05,3,3,0,0.9704816500954229,1.0892681436711775,0.0011451536267531681,0.0008159691983712432,0.0001839907984101897
B_4f,64,0,0,3,4,444.5,9,5.06,2.2,-0.6,0.05,3,10,0,0.48877514850409853,0.6082955840864479,0.0007200245112178081,0.0008159691983712432,0.0001839907984101897
B_4f,64,0,0,3,4,444.5,9,5.06,2.2,-0.6,0.05,3,30,0,0.3225288262056688,0.44046488249138205,0.00032303588511017276,0.0008159691983712432,0.0001839907984101897
