noise,Ld,cellPx,gapPx,pitch_um,cells,states_per_mm2,G0,s,Ia,dark,seed,t,ber,on_min,on_mean,off_max,false_activation,energy,lyapunov_at_end,fixed_point_residual
0,0.00001,3,3,120,9,69.44444444444444,3.4,-0.8,0.2,0,1,1000,0,3.062662845543347,3.222470671859549,0.014764196351091226,0,92.86096766819362,-0.002766175100231408,1.9999983204430292
0,0.00001,3,3,120,9,69.44444444444444,3.4,-0.8,0.2,0,1,3000,0,3.0602586964173426,3.2204351688088013,0.01455496201731555,0,92.79677129648763,-0.002766175100231408,1.9999983204430292
0,0.00001,3,3,120,9,69.44444444444444,3.4,-0.8,0.2,0,2,1,0,2.017465784535904,2.070593930307999,0.0032257628245021645,0,82.22283814582481,-0.0019663154078535194,1.9999987153083094
0,0.00001,3,3,120,9,69.44444444444444,3.4,-0.8,0.2,0,2,3,0,2.2893698911214857,2.4106664187579723,0.007200241466150943,0,93.30064237500149,-0.0019663154078535194,1.9999987153083094
0,0.00001,3,3,120,9,69.44444444444444,3.4,-0.8,0.2,0,2,10,0,2.7829822093160392,2.98795285533657,0.008627643388334043,0,115.36307920772674,-0.0019663154078535194,1.9999987153083094
0,0.00001,3,3,120,9,69.44444444444444,3.4,-0.8,0.2,0,2,30,0,2.8906476117757878,3.109385209937356,0.009208519935180305,0,120.01154334323078,-0.0019663154078535194,1.9999987153083094
0,0.00001,3,3,120,9,69.44444444444444,3.4,-0.8,0.2,0,2,100,0,2.901461790443211,3.120155746364543,0.009732887724696555,0,120.2946774622903,-0.0019663154078535194,1.9999987153083094
0,0.00001,3,3,120,9,69.44444444444444,3.4,-0.8,0.2,0,2,300,0,2.902083649395026,3.1190594127950835,0.010337713273615793,0,120.04048072202214,-0.0019663154078535194,1.9999987153083094
0,0.00001,3,3,120,9,69.44444444444444,3.4,-0.8,0.2,0,2,1000,0,2.8869318029617044,3.100294425475401,0.010534596323218572,0,119.21408044547076,-0.0019663154078535194,1.9999987153083094
0,0.00001,3,3,120,9,69.44444444444444,3.4,-0.8,0.2,0,2,3000,0,2.8819741734029147,3.0961691067234867,0.0107012698450518,0,119.04956461142461,-0.0019663154078535194,1.9999987153083094
0,0.00001,3,3,120,9,69.44444444444444,3.4,-0.8,0.2,0,3,1,0,2.036293088325142,2.101576393085451,0.004064024216546742,0,145.19164377881123,-0.0013250297217220354,1.9999994712798987
0,0.00001,3,3,120,9,69.44444444444444,3.4,-0.8,0.2,0,3,3,0,2.3192283990256315,2.4752199156783488,0.007116572830974586,0,166.97934919382712,-0.0013250297217220354,1.9999994712798987
0,0.00001,3,3,120,9,69.44444444444444,3.4,-0.8,0.2,0,3,10,0,2.837288581668179,3.100939863118824,0.007577329315536139,0,208.70357157057347,-0.0013250297217220354,1.9999994712798987
0,0.00001,3,3,120,9,69.44444444444444,3.4,-0.8,0.2,0,3,30,0,2.9572636182876195,3.2325231695425694,0.007862142481690053,0,217.39411409975213,-0.0013250297217220354,1.9999994712798987
